category	avg_review_score	total_reviews	score_5	score_4	score_3	score_2	score_1	positive_review_pct	negative_review_pct	total_revenue	total_orders
books_general_interest	4.51	492	394	83	20	7	29	89.5	6.8	45025.4	492
books_technical	4.39	257	188	39	10	7	20	86.0	10.2	18715.2	255
food_drink	4.37	221	178	46	29	5	13	82.7	6.6	15033.87	221
luggage_accessories	4.35	1015	704	205	71	24	69	84.7	8.7	138116.85	1015
fashion_shoes	4.29	234	166	44	18	9	19	82.0	10.9	22806.76	231
food	4.26	437	312	92	26	13	44	83.0	11.7	28332.01	437
stationery	4.24	2251	1539	478	155	77	210	82.0	11.7	222989.04	2251
small_appliances	4.23	608	407	132	38	19	61	82.0	12.2	182201.72	604
home_appliances	4.23	730	479	162	64	15	69	81.2	10.6	81634.7	744
pet_shop	4.22	1679	1195	348	143	58	173	80.5	12.1	211003.05	1680
perfumery	4.22	3083	2158	527	220	100	339	80.3	13.1	389658.85	3076
musical_instruments	4.22	606	397	129	43	21	56	81.4	11.9	181693.32	605
computers	4.22	174	121	41	11	2	21	82.7	11.7	209919.14	174
toys	4.21	3777	2507	704	308	98	390	80.1	12.2	467472.45	3774
health_beauty	4.19	8600	5844	1698	736	230	948	79.8	12.5	1228986.81	8601
fashion_bags_accessories	4.19	1812	1182	417	168	51	176	80.2	11.4	149364.26	1811
cool_stuff	4.19	3540	2226	733	300	111	328	80.0	11.9	605088.81	3531
sports_leisure	4.17	7476	5100	1613	625	223	875	79.6	13.0	954296.99	7486
home_appliances_2	4.16	224	129	58	17	9	19	80.6	12.1	108011.7	226
consoles_games	4.14	1009	624	211	114	32	99	77.3	12.1	146523.42	1009
industry_commerce_and_business	4.13	230	150	56	23	9	25	78.3	12.9	38388.81	230
drinks	4.13	288	206	84	30	6	39	79.5	12.3	21607.04	287
costruction_tools_garden	4.12	191	142	43	13	8	28	79.1	15.4	25150.13	190
auto	4.12	3796	2368	865	312	139	433	78.5	13.9	572750.14	3792
housewares	4.11	5719	3968	1268	580	239	725	77.2	14.2	613843.72	5709
signaling_and_security	4.09	136	112	33	28	3	20	74.0	11.7	21199.05	137
construction_tools_lights	4.09	240	159	63	31	17	23	75.8	13.7	39355.23	239
construction_tools_construction	4.09	731	526	171	88	29	99	76.3	14.0	141227.9	731
agro_industry_and_commerce	4.09	177	108	57	13	7	21	80.1	13.6	70566.1	177
garden_tools	4.08	3437	2471	802	341	136	504	76.9	15.0	468477.18	3428
baby	4.08	2790	1718	552	255	98	344	76.5	14.9	397653.69	2787
art	4.08	193	111	38	18	7	21	76.4	14.4	23492.4	193
watches_gifts	4.07	5460	3328	1110	524	204	659	76.2	14.8	1160289.57	5454
market_place	4.07	271	160	74	30	9	30	77.2	12.9	27730.48	272
electronics	4.07	2499	1503	592	214	100	302	77.3	14.8	151180.26	2498
christmas_supplies	4.07	123	76	37	11	2	17	79.0	13.3	8027.12	123
fashion_underwear_beach	4.05	116	67	31	8	7	13	77.8	15.9	9256.05	116
air_conditioning	4.05	242	163	53	24	8	36	76.1	15.5	52628.66	242
kitchen_dining_laundry_garden_furniture	4.03	239	145	60	30	5	32	75.4	13.6	45279.08	239
telephony	4.0	4070	2308	966	450	172	512	74.3	15.5	307941.54	4069
computers_accessories	3.98	6491	4187	1535	638	270	1042	74.6	17.1	892279.63	6499
construction_tools_safety	3.97	158	100	37	13	3	29	75.3	17.6	38744.22	158
home_construction	3.96	482	298	142	50	37	66	74.2	17.4	81274.92	481
furniture_decor	3.95	6266	4437	1495	743	351	1133	72.7	18.2	712414.53	6260
furniture_living_room	3.94	409	255	100	54	23	62	71.9	17.2	66679.74	409
Uncategorised	3.93	1410	848	305	98	59	245	74.1	19.5	175604.9	1402
bed_bath_table	3.92	9191	5769	2116	1089	485	1526	71.8	18.3	1027333.65	9177
home_confort	3.85	393	230	60	55	16	69	67.4	19.8	57488.25	390
audio	3.83	346	189	57	35	19	59	68.5	21.7	50340.81	345
fixed_telephony	3.76	210	120	56	19	12	46	69.6	22.9	54755.23	209
fashion_male_clothing	3.76	105	67	19	7	3	28	69.4	25.0	10257.33	105
office_furniture	3.52	1246	619	385	237	84	339	60.3	25.4	266533.43	1244
